claim_id,claim_text,paper_id,evidence_location,V,D,P,Q,audit_status,notes
C90,MRAgent 不把记忆读取约化为一次近邻检索，而是依据中间证据主动扩展和剪枝异质图；论文在 LoCoMo 与 LongMemEval 上报告改进，但遍历成本、静态构图和图增长仍是部署边界,mragent-2026,ICML 2026 全文第 3至4 节、图 4至6、表 1至3及第 7 节,V3,D2,P2,Q2,VERIFIED,全文复核；主结果与跨骨干星号结果分开解释，不把静态图读取外推为完整记忆生命周期
C91,ChronoMem 把长期记忆写入组织为全局快照，并把自然语言撤销请求映射为历史版本后原子回滚；该控制原语具有独特性，但论文仍是预印本且存在模板占位符与表文数值冲突,chronomem-2026,arXiv:2607.27773 全文图 1至2、表 1至7、算法 2及第 3至4 节,V3,D2,P1,Q1,VERIFIED,按 C 级桥接证据使用；不引用相互冲突的 MemoryAgentBench 数字，也不把 PDF 模板占位 DOI 当作正式出版信息
C92,Mem-Gallery把多模态跨会话记忆拆为抽取与测试时适应、推理、知识管理和效率，并显示显式保留多模态信息仍未消除推理与管理缺口,mem-gallery-2026,Figure 3、第3节及Tables 4至6，PDF第3至9页,V3,D2,P2,Q2,VERIFIED,受控生成对话不等同于多年真实用户轨迹；十二种系统比较不能外推到所有部署
C93,PersonalAlign从长期图形界面行为记录流式维护偏好与惯例双层记忆，并在AndroidIntent中改善模糊指令执行和前摄建议,personalalign-2026,Figure 2、Figure 5、第4至5节及Tables 3至7，PDF第4至9页,V3,D2,P2,Q2,VERIFIED,结果限于AndroidIntent、给定记录生成与受测代理，不证明跨设备真实长期部署
C94,时间冲突评测显示模型可能识别事实可变性却不把判断转化为接受最新证据的最终行动，显式时间提示也只能部分缩小差距,when-facts-change-2026,Figure 2、第3节、Tables 2至4及Table 6，PDF第3至9页,V3,D2,P2,Q2,VERIFIED,该工作观察推理与答案，不执行持久写回或版本替换，按桥接反证使用
C95,ConflictBank分别构造错误信息、时间差异和语义分歧，并联合测量外部证据冲突、参数知识冲突及二者交互,conflictbank-2024,Figure 1、第2至3节、Figures 3至8及Table 3，PDF第3至19页,V3,D2,P2,Q2,VERIFIED,大规模自动构造数据和给定模型族不能替代真实检索库的来源与权限审计
C96,AMA以Constructor、Retriever、Judge和Refresher形成从多粒度写入、冲突检测到目标条目更新或删除的长期记忆维护闭环,ama-2026,Figure 2、第3.1至3.4节、Figure 3及Tables 1至4，正式页码3100至3107,V3,D2,P2,Q2,VERIFIED,多代理调用增加成本，删除操作正确生成不等于所有派生状态已完成可验证清除
C97,相同错误—修复记忆在链式工程代理中提高可靠性，却可能压缩树式搜索多样性并降低最终结果，说明记忆收益取决于代理架构,demystify-memory-mle-2026,Figure 2、第3.3与4.2至4.6节、Tables 1至5及Figures 3至4，正式页码10813至10820,V3,D2,P2,Q2,VERIFIED,实验集中于MLE-bench lite、两种预设架构和同任务跨运行，不证明跨任务普遍反转
C98,Memp把程序记忆分为构建、检索与更新，并比较追加、验证淘汰和失败后原位纠错，还测试强模型记忆向弱模型迁移,memp-2026,Figure 2、第3.1、4.2至4.3与5节、Tables 1至2及Figures 3与5，正式页码17492至17498,V3,D2,P2,Q2,VERIFIED,当前依赖显式任务奖励和向量检索，结果限于TravelPlanner与ALFWorld
C99,StreamBench用逐步输入、预测、反馈和状态更新协议测量语言代理的持续改进，并允许更新提示、检索器、外部记忆或参数,streambench-2024,Figure 1、第2至4节、Algorithms 1至2及Tables 1至2，PDF第2至9页,V3,D2,P2,Q2,VERIFIED,序列由静态数据随机串行化且反馈为模拟二元信号，因此按桥接基准使用
C100,OpenUnlearning统一多种遗忘算法、评测与基准，并用数百个检查点对遗忘指标本身的可信度和稳健性做元评测,openunlearning-2025,NeurIPS 2025正式全文第3至6节、Figures 2至5与Tables 2至4,V3,D2,P2,Q2,VERIFIED,统一框架提高可比性，但不能把某一指标或公开检查点的表现外推为真实删除合规
C101,FaithUn同时检查改写泛化、多跳关联知识和同答案无关知识，揭示只抑制答案词元或局部提示的表面遗忘,faithun-2025,EMNLP 2025正式全文第3至5节、Figure 1及Tables 1至7，正式页码12999至13014,V3,D2,P2,Q2,VERIFIED,数据依赖Wikidata、自动生成问句和选择题设置，不能覆盖所有自然语言恢复路径
C102,FUMA显示即使目标知识难以直接检索，遗忘优化仍可能留下可区分忘却集身份的痕迹，形成删除后的独立隐私风险,fuma-2025,EMNLP 2025正式全文第3至6节、Figures 1至5与Tables 1至4，正式页码10873至10892,V3,D2,P2,Q2,VERIFIED,成员推断结果依赖受测模型、遗忘方法与攻击假设，不等于任意外部主体都能识别
C103,ICLR 2025实验显示部署量化可恢复多种遗忘方法试图隐藏的目标知识，暴露全精度评测无法覆盖的可逆性失败,quantization-unlearning-failure-2025,ICLR 2025正式全文第3至6节、Figures 1至4与Tables 1至7,V3,D2,P2,Q2,VERIFIED,恢复比例只适用于论文方法、模型、数据与量化设置；量化并非所有删除失败的充分测试
C104,RAGuard用自然发生的支持、误导和无关证据测试事实核查，在所测系统中误导检索使RAG低于无检索基线,raguard-2025,NeurIPS 2025正式全文Figure 2、Figure 4、Table 1至2及第2至5节，PDF第3至11页,V3,D2,P2,Q2,VERIFIED,领域集中于政治事实核查；该基准与同名研讨会防御框架属于不同作品族
C105,本体引导长期记忆并行维护关系图、向量片段和用户档案，以时间、来源与反馈控制晋升、查询路由和回滚，在所测基准上同时改善召回与成本,ontology-agent-memory-2026,MLSys 2026全文第3至5节、Tables 5至6及消融，PDF第3至11页,V3,D2,P2,Q2,VERIFIED,主基准由作者构建，图抽取与实体对齐错误会累积，尚无真实多租户长期部署
C106,Hippocampus用动态小波矩阵在压缩域内索引语义签名并保留可无损重建的词元流，降低所测长期智能体记忆的检索延迟与词元开销,hippocampus-2026,MLSys 2026全文第3.1至3.4节、Tables 1至3，PDF第5至10页,V3,D2,P2,Q2,VERIFIED,效率结果限于给定实现、数据与硬件；删除路径是设计说明而非实证保证
C107,MemWeaver把交互行为组织为带时间与语义边的行为图，再综合为演化偏好的认知叙事；增量更新在所测个性化任务中性能紧随全量重建，同时耗时接近不更新方案,memweaver-personal-2026,WWW 2026全文第3至4节、Tables 1至2、Figure 5与第4.4.2节，PDF第4至8页,V3,D2,P2,Q2,VERIFIED,Figure 5是曲线比较且未报告完整精确数值；不得写成增量质量优于全量重建
C108,PromptX把经历写成Engram并用图上激活扩散支持跨会话召回，但其企业采用与成本收益主要来自作者或合作方自报，不能视为受控部署效果,promptx-2026,WWW Companion 2026全文第2至4节、Figure 1与Table 1,V3,D2,P2,Q1,VERIFIED,四页展示论文、缺少受控记忆基准；部署数字和业务影响只作C级桥接线索
C109,MLSys 2025审计显示KV状态压缩不仅改变吞吐和延迟，也会使大量回答长度与语义质量发生明显变化，构成长上下文状态压缩的答案层反证,kv-cache-compression-audit-2025,MLSys 2025全文第3至6节、Table 5及Figures 4至8,V3,D2,P2,Q2,VERIFIED,该记录只因答案行为反证纳入，不把普通缓存压缩工程扩张为长期语义记忆路线
C110,AgenticCache把跨轨迹计划转移写入在线缓存，并由后台模型异步验证和修订，在四类具身多智能体基准中改善所测行动成功率与延迟,agenticcache-2026,MLSys 2026全文第3至5节、Algorithms 1至2及Tables 2至4,V3,D2,P2,Q2,VERIFIED,方法高度依赖具身计划局部性与给定基准，只作为程序记忆桥接，不证明通用智能体收益
C111,SagaLLM把目标、理由、约束、状态转移与补偿计划持久化为不可变事务记录和检查点，支持多智能体计划的恢复、并发一致性与补偿回滚,sagallm-2025,PVLDB 18(12)全文第3至7节、Figures 2至6与Tables 2至5,V3,D2,P2,Q2,VERIFIED,事务语义提高可恢复性，但不会验证模型生成计划本身正确，也未覆盖所有外部副作用
C112,ZK-APEX让个性化客户端为约定的近似遗忘变换生成零知识执行证明，证明操作被执行而不暴露私有参数，但不等价于证明目标知识语义上不可恢复,zk-apex-2026,MLSys 2026全文第3至6节、Figures 1至4与Tables 1至4,V3,D2,P2,Q2,VERIFIED,生成模型实验规模有限，证明对象是变换合规而非所有恢复攻击下的真实遗忘
C113,CareCall真实公共卫生部署中，有长期记忆组呈现更深的部分健康披露和更多积极反应，同时敏感追问引发隐私顾虑；组间来自不同时期，结论只能按关联解释,carecall-ltm-self-disclosure-2024,CHI 2024作者开放正式全文Figure 1、Tables 2至3及第5.1.1、5.2、5.3.2、6.3至6.4节，PDF第3至15页,V3,D2,P2,Q2,VERIFIED,"1,252份真实通话日志和9名访谈用户；非同期随机分组，主题效果不一致，不作因果外推"
C114,HippoRAG 2以段落节点和识别过滤扩展图式检索，在所测事实、意义建构与关联任务上改善结果，但过滤可能删除相关三元组且时间和内存仍高于标准稠密RAG,hipporag2-2025,ICML 2025/PMLR正式全文第3.1至3.5节、Tables 2至7、Figure 3、第7节及Appendix E/F,V3,D2,P2,Q2,VERIFIED,图式收益与识别过滤失败、图搜索错误和离线成本配对呈现；不外推为图结构普遍优于稠密检索
C115,SSU面向连续到达的版权删除请求，以任务向量相减、随机标签损失和梯度显著性限制实施序列遗忘；论文同时报告历史目标知识可能在后续时间步重新显现，因而不构成不可逆删除保证,ssu-copyright-2025,Findings of NAACL 2025全文Figure 2、Table 1、Figure 5、§4.1至§4.2及Limitations，PDF第4至9页与附录,V3,D2,P2,Q2,VERIFIED,评价集中于书籍、所选开源模型和词法重合指标；不覆盖外部库、日志、缓存、备份或模型副本
C116,RAGVA基于Transurban收费公路客服部署经验，结合九名工程人员的两次焦点组，给出从数据摄取、检索生成到测试维护的生命周期，并归纳八类工程挑战,ragva-deployment-2025,Journal of Systems and Software 226全文Figures 1至2、§3.1、§4至§5及§8至§9，PDF第2至14页,V3,D2,P2,Q2,VERIFIED,单一公司、单一场景和九名参与者；焦点组不是随机对照或独立效果验证，论文也不提出新检索算法
